case_id,transaction_id,customer_id,verdict,case_note
CASE5507,TXN100507,CUST1164,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5889,TXN100889,CUST1109,Legitimate,"Customer Meera Rao made a transaction of ₹2283.86 at BigBasket in Delhi, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5070,TXN100070,CUST1168,Legitimate,"Customer Aditya Nair made a transaction of ₹6682.75 at Ola in Delhi, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6608,TXN101608,CUST1249,Legitimate,"Customer Vivaan Reddy made a transaction of ₹5860.03 at Myntra in Pune, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6532,TXN101532,CUST1005,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5247,TXN100247,CUST1042,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6450,TXN101450,CUST1056,Legitimate,"Customer Reyansh Das made a transaction of ₹3197.08 at Electricity Board in Bangalore, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5212,TXN100212,CUST1189,Legitimate,"Customer Aarav Nair made a transaction of ₹1297.93 at Ola in Chennai, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5909,TXN100909,CUST1016,Legitimate,"Customer Ananya Rao made a transaction of ₹2024.61 at PayU Recharge in Mumbai, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6741,TXN101741,CUST1282,Legitimate,Routine purchase at Myntra; amount and location consistent with customer behavior. No further action needed.
CASE6244,TXN101244,CUST1173,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6696,TXN101696,CUST1123,Legitimate,Routine purchase at PayU Recharge; amount and location consistent with customer behavior. No further action needed.
CASE6182,TXN101182,CUST1011,Legitimate,"Customer Vivaan Mehta made a transaction of ₹6243.51 at Myntra in Hyderabad, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5361,TXN100361,CUST1075,Legitimate,Routine purchase at Ola; amount and location consistent with customer behavior. No further action needed.
CASE6473,TXN101473,CUST1031,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5678,TXN100678,CUST1162,Legitimate,Routine purchase at PayU Recharge; amount and location consistent with customer behavior. No further action needed.
CASE6621,TXN101621,CUST1002,Legitimate,Routine purchase at Amazon; amount and location consistent with customer behavior. No further action needed.
CASE6089,TXN101089,CUST1255,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6987,TXN101987,CUST1248,Legitimate,"Customer Anika Chatterjee made a transaction of ₹2580.66 at IRCTC in Hyderabad, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6847,TXN101847,CUST1039,Legitimate,Routine purchase at Flipkart; amount and location consistent with customer behavior. No further action needed.
CASE5987,TXN100987,CUST1296,Legitimate,"Customer Ishaan Joshi made a transaction of ₹2134.12 at BigBasket in Gurgaon, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6512,TXN101512,CUST1275,Legitimate,Routine purchase at Flipkart; amount and location consistent with customer behavior. No further action needed.
CASE5111,TXN100111,CUST1039,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6487,TXN101487,CUST1202,Legitimate,"Customer Vihaan Mehta made a transaction of ₹1602.58 at Swiggy in Jaipur, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6453,TXN101453,CUST1126,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5383,TXN100383,CUST1072,Legitimate,Routine purchase at Flipkart; amount and location consistent with customer behavior. No further action needed.
CASE6395,TXN101395,CUST1042,Legitimate,Routine purchase at Amazon; amount and location consistent with customer behavior. No further action needed.
CASE6054,TXN101054,CUST1041,Legitimate,Routine purchase at Myntra; amount and location consistent with customer behavior. No further action needed.
CASE5755,TXN100755,CUST1203,Legitimate,"Customer Reyansh Reddy made a transaction of ₹1642.89 at BigBasket in Hyderabad, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5324,TXN100324,CUST1096,Legitimate,Routine purchase at Cash Withdrawal ATM; amount and location consistent with customer behavior. No further action needed.
CASE6623,TXN101623,CUST1048,Legitimate,Routine purchase at Cash Withdrawal ATM; amount and location consistent with customer behavior. No further action needed.
CASE5787,TXN100787,CUST1211,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5368,TXN100368,CUST1221,Legitimate,"Customer Reyansh Iyer made a transaction of ₹1311.74 at IRCTC in Mumbai, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6819,TXN101819,CUST1133,Legitimate,Routine purchase at IRCTC; amount and location consistent with customer behavior. No further action needed.
CASE5069,TXN100069,CUST1200,Legitimate,Routine purchase at Ola; amount and location consistent with customer behavior. No further action needed.
CASE5857,TXN100857,CUST1236,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6483,TXN101483,CUST1150,Legitimate,Routine purchase at Myntra; amount and location consistent with customer behavior. No further action needed.
CASE6555,TXN101555,CUST1168,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6691,TXN101691,CUST1102,Legitimate,Routine purchase at Electricity Board; amount and location consistent with customer behavior. No further action needed.
CASE6474,TXN101474,CUST1272,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6798,TXN101798,CUST1142,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5478,TXN100478,CUST1218,Legitimate,"Customer Meera Nair made a transaction of ₹3562.52 at Ola in Hyderabad, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5281,TXN100281,CUST1052,Legitimate,Routine purchase at PayU Recharge; amount and location consistent with customer behavior. No further action needed.
CASE6647,TXN101647,CUST1252,Legitimate,"Customer Ishaan Das made a transaction of ₹5415.33 at Flipkart in Delhi, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6556,TXN101556,CUST1243,Legitimate,"Customer Meera Rao made a transaction of ₹327.87 at PayU Recharge in Jaipur, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6729,TXN101729,CUST1282,Legitimate,"Customer Ananya Das made a transaction of ₹2619.86 at Amazon in Kolkata, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5210,TXN100210,CUST1237,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5297,TXN100297,CUST1121,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6884,TXN101884,CUST1088,Legitimate,"Customer Sanya Mehta made a transaction of ₹5388.45 at IRCTC in Pune, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6833,TXN101833,CUST1200,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5651,TXN100651,CUST1243,Legitimate,Routine purchase at PayU Recharge; amount and location consistent with customer behavior. No further action needed.
CASE6233,TXN101233,CUST1183,Legitimate,"Customer Arjun Singh made a transaction of ₹2888.52 at PayU Recharge in Bangalore, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6502,TXN101502,CUST1114,Legitimate,Routine purchase at Myntra; amount and location consistent with customer behavior. No further action needed.
CASE6931,TXN101931,CUST1172,Legitimate,"Customer Ananya Gupta made a transaction of ₹872.35 at BigBasket in Hyderabad, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5916,TXN100916,CUST1258,Fraud Confirmed,Customer Riya Das reported an unrecognized transaction of ₹9087.48 at Crypto Exchange XYZ. Device used did not match customer's registered devices. Investigation confirmed unauthorized access; account was temporarily frozen and funds reversed.
CASE5993,TXN100993,CUST1167,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5429,TXN100429,CUST1291,Fraud Confirmed,"Multiple high-value transactions from Kolkata within a short window, inconsistent with customer's usual spending pattern in Kolkata. Flagged for geo-velocity mismatch. Confirmed as fraud after customer denied transactions."
CASE6370,TXN101370,CUST1287,Legitimate,Routine purchase at BigBasket; amount and location consistent with customer behavior. No further action needed.
CASE5239,TXN100239,CUST1016,Legitimate,Routine purchase at Uber; amount and location consistent with customer behavior. No further action needed.
CASE5879,TXN100879,CUST1018,Legitimate,Routine purchase at Flipkart; amount and location consistent with customer behavior. No further action needed.
CASE5620,TXN100620,CUST1102,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5256,TXN100256,CUST1100,Legitimate,Routine purchase at Myntra; amount and location consistent with customer behavior. No further action needed.
CASE5611,TXN100611,CUST1054,Legitimate,Routine purchase at Cash Withdrawal ATM; amount and location consistent with customer behavior. No further action needed.
CASE5544,TXN100544,CUST1183,Legitimate,"Customer Arjun Singh made a transaction of ₹5305.62 at Uber in Bangalore, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5771,TXN100771,CUST1055,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6419,TXN101419,CUST1138,Legitimate,"Customer Neha Singh made a transaction of ₹1151.74 at Cash Withdrawal ATM in Gurgaon, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6041,TXN101041,CUST1071,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6789,TXN101789,CUST1148,Legitimate,Routine purchase at Cash Withdrawal ATM; amount and location consistent with customer behavior. No further action needed.
CASE5759,TXN100759,CUST1103,Legitimate,"Customer Anika Reddy made a transaction of ₹1241.77 at Local Kirana Store in Gurgaon, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5382,TXN100382,CUST1090,Legitimate,Routine purchase at Uber; amount and location consistent with customer behavior. No further action needed.
CASE6103,TXN101103,CUST1040,Legitimate,"Customer Anika Joshi made a transaction of ₹6853.97 at Ola in Bangalore, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5973,TXN100973,CUST1180,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5352,TXN100352,CUST1072,Legitimate,"Customer Arjun Reddy made a transaction of ₹1450.51 at Electricity Board in Pune, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6605,TXN101605,CUST1253,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6825,TXN101825,CUST1107,Legitimate,"Customer Aarav Gupta made a transaction of ₹3699.52 at Local Kirana Store in Chennai, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6036,TXN101036,CUST1237,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6107,TXN101107,CUST1257,Fraud Confirmed,Customer Sanya Gupta reported an unrecognized transaction of ₹29571.87 at Crypto Exchange XYZ. Device used did not match customer's registered devices. Investigation confirmed unauthorized access; account was temporarily frozen and funds reversed.
CASE5494,TXN100494,CUST1228,Legitimate,Routine purchase at IRCTC; amount and location consistent with customer behavior. No further action needed.
CASE5393,TXN100393,CUST1055,Legitimate,Routine purchase at Swiggy; amount and location consistent with customer behavior. No further action needed.
CASE6546,TXN101546,CUST1235,Legitimate,Routine purchase at Ola; amount and location consistent with customer behavior. No further action needed.
CASE5464,TXN100464,CUST1183,Legitimate,"Customer Arjun Singh made a transaction of ₹3258.94 at Local Kirana Store in Bangalore, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5886,TXN100886,CUST1032,Legitimate,Routine purchase at Uber; amount and location consistent with customer behavior. No further action needed.
CASE6193,TXN101193,CUST1231,Fraud Confirmed,"Customer's card was used for a transaction at Crypto Exchange XYZ, a merchant category associated with prior fraud cases. Amount was significantly above customer's typical transaction size. Confirmed fraudulent after review."
CASE5366,TXN100366,CUST1038,Fraud Confirmed,"Multiple high-value transactions from Mumbai within a short window, inconsistent with customer's usual spending pattern in Mumbai. Flagged for geo-velocity mismatch. Confirmed as fraud after customer denied transactions."
CASE6893,TXN101893,CUST1047,Legitimate,"Customer Karan Rao made a transaction of ₹2462.04 at Electricity Board in Kolkata, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6873,TXN101873,CUST1269,Legitimate,"Customer Vihaan Rao made a transaction of ₹603.61 at Myntra in Hyderabad, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5744,TXN100744,CUST1136,Legitimate,Routine purchase at Ola; amount and location consistent with customer behavior. No further action needed.
CASE5529,TXN100529,CUST1266,Legitimate,Routine purchase at IRCTC; amount and location consistent with customer behavior. No further action needed.
CASE5802,TXN100802,CUST1277,Legitimate,Routine purchase at Cash Withdrawal ATM; amount and location consistent with customer behavior. No further action needed.
CASE6223,TXN101223,CUST1228,Legitimate,Routine purchase at Myntra; amount and location consistent with customer behavior. No further action needed.
CASE6978,TXN101978,CUST1251,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6905,TXN101905,CUST1020,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6699,TXN101699,CUST1075,Fraud Confirmed,"Customer's card was used for a transaction at Foreign Exchange Kiosk, a merchant category associated with prior fraud cases. Amount was significantly above customer's typical transaction size. Confirmed fraudulent after review."
CASE6544,TXN101544,CUST1044,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6313,TXN101313,CUST1166,Legitimate,"Customer Reyansh Nair made a transaction of ₹4222.38 at Cash Withdrawal ATM in Chennai, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5306,TXN100306,CUST1047,Legitimate,Routine purchase at Flipkart; amount and location consistent with customer behavior. No further action needed.
CASE6666,TXN101666,CUST1213,Legitimate,"Customer Neha Verma made a transaction of ₹1884.11 at Electricity Board in Mumbai, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5862,TXN100862,CUST1061,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6566,TXN101566,CUST1296,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5530,TXN100530,CUST1047,Legitimate,"Customer Karan Rao made a transaction of ₹1609.69 at Myntra in Kolkata, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5654,TXN100654,CUST1246,Legitimate,"Customer Aarav Patel made a transaction of ₹3218.55 at IRCTC in Jaipur, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6259,TXN101259,CUST1117,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5233,TXN100233,CUST1115,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5120,TXN100120,CUST1158,Legitimate,Routine purchase at Cash Withdrawal ATM; amount and location consistent with customer behavior. No further action needed.
CASE6697,TXN101697,CUST1148,Legitimate,"Customer Priya Verma made a transaction of ₹1838.76 at BigBasket in Pune, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5949,TXN100949,CUST1282,Legitimate,"Customer Ananya Das made a transaction of ₹6484.48 at PayU Recharge in Kolkata, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5617,TXN100617,CUST1127,Legitimate,"Customer Sai Chatterjee made a transaction of ₹4658.11 at Flipkart in Pune, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6178,TXN101178,CUST1277,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5307,TXN100307,CUST1273,Legitimate,Routine purchase at BigBasket; amount and location consistent with customer behavior. No further action needed.
CASE5135,TXN100135,CUST1204,Legitimate,"Customer Aryan Joshi made a transaction of ₹1526.37 at Zomato in Jaipur, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5554,TXN100554,CUST1169,Legitimate,Routine purchase at Uber; amount and location consistent with customer behavior. No further action needed.
CASE6673,TXN101673,CUST1257,Legitimate,Routine purchase at Local Kirana Store; amount and location consistent with customer behavior. No further action needed.
CASE5583,TXN100583,CUST1073,Legitimate,Routine purchase at BigBasket; amount and location consistent with customer behavior. No further action needed.
CASE6640,TXN101640,CUST1262,Legitimate,Routine purchase at Swiggy; amount and location consistent with customer behavior. No further action needed.
CASE5670,TXN100670,CUST1266,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5834,TXN100834,CUST1217,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5109,TXN100109,CUST1064,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6164,TXN101164,CUST1073,Legitimate,Routine purchase at Local Kirana Store; amount and location consistent with customer behavior. No further action needed.
CASE6959,TXN101959,CUST1237,Legitimate,"Customer Aryan Sharma made a transaction of ₹5772.53 at Swiggy in Bangalore, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6464,TXN101464,CUST1006,Legitimate,"Customer Ananya Nair made a transaction of ₹217.72 at Cash Withdrawal ATM in Pune, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6728,TXN101728,CUST1018,Legitimate,"Customer Anika Kumar made a transaction of ₹2958.18 at Flipkart in Gurgaon, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6242,TXN101242,CUST1284,Legitimate,Routine purchase at Cash Withdrawal ATM; amount and location consistent with customer behavior. No further action needed.
CASE5211,TXN100211,CUST1198,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6767,TXN101767,CUST1212,Legitimate,Routine purchase at Uber; amount and location consistent with customer behavior. No further action needed.
CASE6120,TXN101120,CUST1221,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5679,TXN100679,CUST1098,Fraud Confirmed,"Multiple high-value transactions from Lagos within a short window, inconsistent with customer's usual spending pattern in Lagos. Flagged for geo-velocity mismatch. Confirmed as fraud after customer denied transactions."
CASE6950,TXN101950,CUST1292,Legitimate,"Customer Vihaan Reddy made a transaction of ₹7253.97 at Flipkart in Kolkata, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6838,TXN101838,CUST1055,Legitimate,"Customer Karan Reddy made a transaction of ₹5308.56 at PayU Recharge in Pune, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5411,TXN100411,CUST1257,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6324,TXN101324,CUST1098,Fraud Confirmed,"Multiple high-value transactions from Delhi within a short window, inconsistent with customer's usual spending pattern in Delhi. Flagged for geo-velocity mismatch. Confirmed as fraud after customer denied transactions."
CASE5782,TXN100782,CUST1005,Legitimate,"Customer Reyansh Mehta made a transaction of ₹4691.15 at BigBasket in Jaipur, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6345,TXN101345,CUST1203,Legitimate,"Customer Reyansh Reddy made a transaction of ₹2444.6 at Flipkart in Hyderabad, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5874,TXN100874,CUST1246,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6652,TXN101652,CUST1048,Legitimate,Routine purchase at BigBasket; amount and location consistent with customer behavior. No further action needed.
